source_number,destination_number,is_carting,is_ftl,start_hour,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor,data
4,5,0,1,20,-0.2357,-0.2759,-0.2754,-0.3747,1.3612,training
4,5,0,1,21,-0.2751,-0.2948,-0.2923,-0.3911,1.4444,training
4,5,0,1,22,-0.2593,-0.2846,-0.2805,-0.3355,1.8125,training
4,5,0,1,23,-0.2409,-0.2814,-0.2808,-0.3646,1.47,training
4,5,1,0,0,-0.2383,-0.2778,-0.276,-0.3305,1.7044,training
4,5,1,0,1,-0.2418,-0.2807,-0.2777,-0.3262,1.7692,training
4,5,1,0,2,-0.2488,-0.2839,-0.2787,-0.2938,2.07,training
4,5,1,0,3,-0.2409,-0.2795,-0.2759,-0.3096,1.9007,training
4,5,1,0,4,-0.2436,-0.2795,-0.2758,-0.2612,2.2841,training
4,5,1,0,5,-0.2278,-0.272,-0.2739,-0.3456,1.537,training
4,5,1,0,6,-0.2436,-0.2817,-0.2767,-0.2887,2.075,training
4,5,1,0,7,-0.2488,-0.2839,-0.2784,-0.333,1.76,training
4,5,1,0,8,-0.2436,-0.2808,-0.2778,-0.2563,2.3323,training
4,5,1,0,9,-0.2383,-0.2773,-0.2756,-0.2932,1.9898,training
4,5,1,0,10,-0.2436,-0.2814,-0.2764,-0.274,2.188,training
4,5,1,0,11,-0.2331,-0.2739,-0.2755,-0.2622,2.1887,training
4,5,1,0,12,-0.2488,-0.2816,-0.2763,-0.3216,1.8405,training
4,5,1,0,13,-0.2415,-0.2785,-0.2762,-0.3254,1.767,training
4,5,1,0,14,-0.2331,-0.2772,-0.2753,-0.2521,2.2728,training
4,5,1,0,15,-0.2488,-0.2834,-0.2779,-0.3659,1.5,training
4,5,1,0,17,-0.2409,-0.2781,-0.2764,-0.3418,1.6394,training
4,5,1,0,18,-0.2409,-0.2783,-0.2765,-0.3279,1.7536,training
4,5,1,0,19,-0.2409,-0.277,-0.2753,-0.3532,1.556,training
4,5,1,0,20,-0.2413,-0.2781,-0.2768,-0.3265,1.7607,training
4,5,1,0,21,-0.2488,-0.2828,-0.2774,-0.2268,2.6,training
4,5,1,0,22,-0.2357,-0.2766,-0.2751,-0.2698,2.1607,training
4,5,1,0,23,-0.2436,-0.283,-0.2773,-0.3077,1.9216,training
4,17,0,1,2,0.7609,0.7513,0.7856,0.7517,2.1364,training
4,17,0,1,4,0.7609,0.7523,0.7855,0.6312,1.9394,training
4,17,0,1,5,0.7661,0.7545,0.7861,0.5419,1.786,training
4,17,0,1,7,0.7609,0.7541,0.7853,0.6683,2.0,training
4,17,0,1,9,0.7714,0.758,0.7879,0.6708,1.9877,training
4,21,0,1,20,6.6718,6.6446,6.6881,5.7986,1.8397,training
4,21,0,1,22,6.6718,6.6442,6.6875,6.1273,1.9348,training
4,21,0,1,23,6.67,6.6363,6.6872,6.1315,1.9365,training
4,26,0,1,4,4.9153,4.8779,4.8087,5.4496,2.3014,training
4,26,0,1,5,4.9153,4.8786,4.8087,4.3245,1.8702,training
4,26,0,1,6,4.9101,4.8753,4.8089,4.5461,1.957,training
4,26,0,1,7,4.9101,4.8752,4.8078,4.6709,2.0048,training
4,30,0,1,0,7.5237,7.4824,7.4231,6.3624,1.7906,training
4,30,0,1,1,7.5329,7.4893,7.4177,6.5963,1.849,training
4,30,0,1,3,7.5342,7.4894,7.4188,6.638,1.8595,training
4,30,0,1,4,7.5158,7.4795,7.4227,6.6823,1.8752,training
4,30,0,1,5,7.5184,7.4807,7.4187,7.4813,2.0815,training
4,30,0,1,6,7.5184,7.4798,7.4209,6.7063,1.8808,training
4,30,0,1,7,7.5184,7.4811,7.4219,6.7265,1.8861,training
4,30,0,1,10,7.5184,7.4802,7.4259,6.7543,1.8933,training
4,30,0,1,11,7.5132,7.4772,7.4236,6.4534,1.8165,training
4,30,0,1,12,7.5158,7.4788,7.4232,6.2929,1.7743,training
4,30,0,1,13,7.5198,7.4819,7.422,6.2524,1.763,training
4,30,0,1,14,7.5184,7.4803,7.4219,6.2208,1.7551,training
4,30,0,1,15,7.5167,7.4798,7.4228,6.472,1.8205,training
4,30,0,1,20,7.5079,7.4735,7.4276,6.5723,1.8485,training
4,30,0,1,21,7.5447,7.4975,7.411,6.3902,1.7931,training
4,30,0,1,22,7.5281,7.4857,7.422,6.4804,1.8201,training
