hub_name,hub_number,bottleneck_score,delay_ratio,delay_hours,sla_breach,sla_breach_contribution,betweenness_centrality,closeness_centrality,degree_centrality
Roorkee_IOTCEncl_L (Uttarakhand),15,0.111769,0.9361747393801859,0.0,0.0,0.004132113209280495,0.0,0.12200713422893357,0.0006406149903907751
Haridwar (Uttarakhand),16,0.136109,0.981995552686321,11.3001,0.0,0.0043277713319296255,0.0020470934148064195,0.12194707658450413,0.004484304932735426
MAA_Poonamallee_HB (Tamil Nadu),17,0.244777,0.8874952791747004,14.0923,0.0,0.011874584634110456,0.040173382714899404,0.14928241992203942,0.023062139654067903
Ludhiana_MilrGanj_HB (Punjab),18,0.161958,0.9479968275063773,7.6383,0.0,0.21649105418453557,0.007556998308119385,0.11925868783435783,0.013452914798206277
Jalandhar_DPC (Punjab),19,0.268333,1.5462962962962963,2.0145999999999997,1.0,0.00104350998746204,0.0036843574960166887,0.11906505114113952,0.006406149903907751
Gurgaon_Begumpur_CP (Haryana),20,0.065708,4.884259259259259,0.03799999999999998,0.0,0.1984998239542749,0.0,0.0,0.0012812299807815502
Jaipur_Hub (Rajasthan),21,0.190212,0.8611155188828944,3.3523999999999994,0.0,0.00040529182548748854,0.03683769613782435,0.1493161942251892,0.010249839846252402
Ajmer_FoySGRRD_I (Rajasthan),22,0.291039,5.372727272727273,5.229,1.0,0.08776664358832525,0.010193170058640911,0.12262682617527616,0.005124919923126201
Pali_Nayagaon_I (Rajasthan),23,0.292559,68.33333333333334,3.2039999999999997,1.0,0.5597359621586011,0.010797031817211191,0.12342950785025927,0.004484304932735426
Jodhpur_Basni_I (Rajasthan),24,0.121322,-3.518181818181818,8.265,0.0,0.0,0.004924522413311651,0.10411383159415308,0.0032030749519538753
Hyderabad_Chikdply_C (Telangana),25,0.055499,-231.6666666666667,0.2602,0.0,0.0,0.0,0.0,0.0006406149903907751
Bhopal_Trnsport_H (Madhya Pradesh),26,0.20365,1.239147592738753,12.113799999999998,0.0,0.0,0.025418752511161193,0.1542364053459538,0.013452914798206277
Kanpur_Central_H_6 (Uttar Pradesh),27,0.415109,5.2407407407407405,34.5058,1.0,0.015783088560363367,0.03327390566820421,0.1465639747891042,0.017937219730941704
Auraiya_AryaNagr_D (Uttar Pradesh),28,0.112629,0.9274779109439244,0.0,0.0,0.0,0.00041639974375400383,0.11966955185409543,0.0012812299807815502
Etawah_MhraChng_D (Uttar Pradesh),29,0.104943,0.9776694045174539,0.09550000000000003,0.0,0.0,0.0004053121766126251,0.10111499593616306,0.0012812299807815502
Gurgaon_Bilaspur_HB (Haryana),30,0.846778,1.3194338179035958,98.6724,1.0,0.0016817281494365915,0.2162223493780559,0.17712763780873222,0.05573350416399744
Ahmedabad_East_H_1 (Gujarat),31,0.364787,1.369609028617493,10.590899999999998,1.0,0.0,0.031243342733973844,0.1447954318726056,0.017937219730941704
Surat_HUB (Gujarat),32,0.1562,0.9165980544628426,5.937399999999999,0.0,0.02570109196798251,0.012335681407590492,0.1409606105244204,0.009609224855861626
Nanded_Aswningr_I (Maharashtra),33,0.139367,1.00643068104113,7.6382,0.0,0.0,0.004937663233627359,0.12662654997608142,0.005124919923126201
Loha_SivjiCWK_D (Maharashtra),34,0.11071,1.0217799310374929,0.2548999999999999,0.0,0.0030047497406831087,0.0032601553902002335,0.1060716133840142,0.0012812299807815502
Gangakher_Busstand_D (Maharashtra),35,0.103892,0.9816652994257588,0.008699999999999986,0.0,0.0,0.003249067823058855,0.09125796162546132,0.0012812299807815502
Parli_JirgeNgr_D (Maharashtra),36,0.099522,1.0262855501292731,0.04870000000000002,0.0,0.01466038361849573,0.003237980255917476,0.08007493065704153,0.0012812299807815502
Ambajogai_BnsllNgr_D (Maharashtra),37,0.10692,1.0167760459392945,4.1821,0.0,0.17103315035572042,0.0032268926887760972,0.07133350394242718,0.0012812299807815502
Mumbai_MaladWest_CP (Maharashtra),38,0.073626,0.9843349005276449,0.22869999999999996,0.0,0.570646231759655,0.0,0.0,0.0012812299807815502
Bengaluru_Hoodi_IP (Karnataka),39,0.102097,0.939175892981375,1.5218000000000003,0.0,0.0022687025173839925,0.0008114456544949819,0.1320483350290789,0.0038436899423446506
Loharu_BstndDPP_D (Haryana),40,0.111599,1.047015200557217,0.03420000000000001,0.0,0.00017236548900042555,0.0012257921450746564,0.11485861094245323,0.0012812299807815502
ChrkhiDdri_PuranDPP_D (Haryana),41,0.10454,0.9859285127362366,0.03420000000000001,0.0,0.011776755572785891,0.0012147045779332777,0.0976587124112661,0.0012812299807815502
Boisar_OstwlEmp_D (Maharashtra),42,0.071167,1.0009433962264151,3.0282999999999998,0.0,0.1767864308669509,0.0,0.0006406149903907751,0.0012812299807815502
Dahanu_KetyDPP_D (Maharashtra),43,0.067541,1.080189857606795,3.0282999999999998,0.0,0.0,0.0,0.0006406149903907751,0.0012812299807815502
Hapur_Swargash_D (Uttar Pradesh),44,0.10464,0.22508118910816888,0.017000000000000015,0.0,0.05504515183862267,0.0,0.09922982686443187,0.0012812299807815502
