,source_number,destination_number,osrm_time,osrm_distance
360,71,72,41.0,58.474675000000005
361,72,30,772.875,1051.5637
362,73,74,54.0,76.473175
363,74,1230,76.0,107.55635000000001
364,74,1412,43.0,59.707800000000006
365,75,76,70.25,81.074825
366,76,77,55.44444444444444,59.08087777777777
367,77,22,34.0,38.88368461538461
368,78,79,28.625,37.9106125
369,78,109,27.333333333333332,34.685811111111114
370,78,1467,13.0,16.3709
371,78,1504,12.6,13.28862
372,79,80,44.666666666666664,43.731677777777776
373,79,81,59.0,83.4561
374,80,81,24.857142857142858,25.5607
375,81,78,88.36363636363636,122.78854545454546
376,82,516,39.0,38.960300000000004
377,82,517,93.0,116.22073333333333
378,82,528,85.0,104.0805
379,83,84,30.363636363636363,38.537963636363635
380,83,333,111.0,135.5658
381,83,734,18.0,23.1748
382,83,840,83.0,115.3405
383,83,1079,45.285714285714285,63.48797142857143
384,83,1525,24.0,33.909324999999995
385,84,83,28.0,36.44285000000001
386,84,734,36.5,49.23569
387,85,2,22.82051282051282,27.4732
388,85,3,17.0,19.0458
389,85,57,100.625,132.8736375
390,85,104,19.58139534883721,22.453167441860465
391,85,159,24.545454545454547,28.701136363636362
392,85,264,15.71111111111111,20.26855777777778
393,85,421,19.0,22.188633333333332
394,85,564,16.763157894736842,18.519028947368422
395,85,1561,24.0,28.4958
396,86,253,16.25,16.043400000000002
397,86,432,17.1,18.600475
398,86,457,20.0,24.60045
399,86,677,53.8,73.70516
400,86,679,72.0,87.6403
401,86,770,12.153846153846153,13.818515384615385
402,86,972,56.0,73.3713
403,86,1046,31.875,41.1717625
404,86,1431,18.692307692307693,20.183061538461537
405,86,1455,20.0,21.142566666666667
406,86,1483,22.083333333333332,25.32185
407,87,92,689.3333333333334,954.8438666666666
408,87,102,1323.1666666666667,1808.0656333333334
409,87,103,40.4,39.5158
410,87,238,242.5,331.44264999999996
411,87,338,37.0,38.7147
412,87,503,248.83333333333334,341.00606666666664
413,87,820,231.0,312.81690000000003
414,87,958,54.125,65.006475
415,87,1183,138.25,177.31097499999998
416,87,1185,224.0,299.235
417,87,1204,65.0,80.386075
418,87,1209,99.4,126.65803000000001
419,87,1293,15.0,15.1033
420,87,1463,194.5,263.75815
421,88,89,33.333333333333336,34.119033333333334
422,88,1484,67.0,72.2687
423,89,1484,34.0,39.1379
424,90,4,42.07142857142857,34.57366428571429
425,90,5,22.571428571428573,22.002142857142854
426,91,4,50.534246575342465,40.70267397260274
427,91,5,56.73770491803279,53.45717868852459
428,91,39,41.5,37.9599
429,91,90,40.888888888888886,39.64426666666667
430,91,112,33.0,32.10285384615385
431,91,127,34.73076923076923,31.55441153846154
432,91,309,80.0,80.017
433,91,395,55.2,63.38274
