data,source_number,destination_number,is_carting,is_ftl,day_of_week,start_hour,is_day,is_night,is_cutoff,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor
training,225,2,0,1,3,6,0,1,0,390.0,549.4743000000001,447.9037679092398,893.0,2.2897435897435896
training,4,91,1,0,4,20,0,1,0,46.0,36.9757,27.945101524239828,94.0,2.0434782608695654
training,226,111,1,0,4,17,1,0,0,35.0,31.2661,21.63311541578182,74.0,2.1142857142857143
training,232,233,1,0,2,0,0,1,0,28.0,39.7245,37.85916704310895,45.0,1.6071428571428572
training,233,232,1,0,2,1,0,1,0,29.0,40.2548,38.37233869435721,100.0,3.4482758620689653
training,234,235,0,1,2,4,0,1,0,42.0,48.4129,42.63033296031683,78.0,1.8571428571428568
training,235,1305,0,1,2,5,0,1,0,63.0,76.09339999999999,57.34526176515766,175.0,2.7777777777777777
training,92,685,1,0,6,23,0,1,0,18.0,18.4982,15.263625855764314,38.0,2.111111111111111
training,238,239,1,0,5,20,0,1,0,19.0,27.752,26.47538993943853,48.0,2.526315789473684
training,239,240,1,0,6,3,0,1,0,29.0,40.114,22.9194032147834,63.0,2.1724137931034484
training,240,238,1,0,6,5,0,1,0,15.0,19.6345,16.79110947969952,468.0,31.2
training,30,443,1,0,2,19,1,0,0,65.0,78.36110000000001,47.38729417780497,121.0,1.8615384615384616
training,18,198,0,1,5,15,1,0,0,56.0,75.9737,71.87258248192742,116.0,2.071428571428572
training,198,199,0,1,5,18,1,0,0,63.0,80.83239999999999,75.12367776728259,107.0,1.6984126984126984
training,199,575,0,1,5,20,0,1,0,53.0,51.2731,48.38384630528365,54.0,1.018867924528302
training,20,1480,1,0,5,15,1,0,0,37.0,37.8245,30.150699128504822,73.0,1.972972972972973
training,4,91,1,0,3,15,1,0,0,48.0,37.8541,27.825143397015623,76.0,1.5833333333333333
training,90,5,1,0,6,5,0,1,0,24.0,22.5406,15.368531920130968,59.0,2.458333333333333
training,113,708,0,1,2,20,0,1,0,58.0,70.415,45.74645513755326,73.0,1.2586206896551724
training,242,757,0,1,3,0,0,1,0,26.0,28.6702,23.9301949128628,80.0,3.076923076923077
training,243,113,0,1,3,3,0,1,0,64.0,84.92110000000001,64.09925856156153,694.0,10.84375
training,3,263,1,0,0,19,1,0,0,18.0,19.2725,15.866895541837296,40.0,2.2222222222222223
training,220,221,0,1,2,12,1,0,0,65.0,87.00280000000001,74.91754131263498,128.0,1.9692307692307691
training,221,1494,0,1,2,14,1,0,0,35.0,38.6839,27.39377967246799,50.0,1.4285714285714286
training,194,14,1,0,2,20,0,1,0,55.0,42.9077,35.47959378477601,98.0,1.7818181818181815
training,244,215,0,1,6,4,0,1,0,41.0,41.3296,30.893265181847752,90.0,2.1951219512195124
training,38,85,1,0,1,16,1,0,0,11.0,11.6563,9.190572198325006,34.0,3.090909090909091
training,248,249,0,1,4,23,0,1,0,23.0,29.9273,27.91587138083603,46.0,2.0
training,249,250,0,1,5,0,0,1,0,167.0,89.0253,70.5622374696459,190.0,1.1377245508982037
training,250,786,0,1,5,4,0,1,0,25.0,34.306,25.76091231911007,66.0,2.64
training,2,326,1,0,4,14,1,0,0,27.0,32.837300000000006,23.61888583893834,203.0,7.518518518518518
training,109,716,0,1,2,11,1,0,0,104.0,138.882,120.06986288530828,169.0,1.625
training,252,1495,1,0,3,16,1,0,0,37.0,47.5667,34.53074182984886,71.0,1.9189189189189189
training,2,1336,1,0,0,14,1,0,0,20.0,25.7077,20.926903514686256,52.0,2.6
training,253,86,1,0,0,4,0,1,0,11.0,13.5132,11.79502110263475,65.0,5.909090909090909
training,26,254,0,1,3,7,0,1,0,42.0,48.6676,45.42759906235782,114.0,2.7142857142857144
training,254,255,0,1,3,10,1,0,0,33.0,44.1656,42.453824930510905,54.0,1.6363636363636365
training,255,26,0,1,3,11,1,0,0,73.0,102.8691,86.52670679669127,181.0,2.4794520547945207
training,5,127,1,0,5,3,0,1,0,37.0,32.0137,28.333952116955818,90.0,2.4324324324324325
